jarak,waktu_milli,waktu_second,zona
75,4424,4,AMAN
72,4254,4,AMAN
104,6137,6,AMAN
72,4252,4,AMAN
71,4202,4,AMAN
82,4844,4,AMAN
72,4252,4,AMAN
81,4819,4,AMAN
72,4252,4,AMAN
82,4844,4,AMAN
81,4820,4,AMAN
72,4252,4,AMAN
82,4848,4,AMAN
72,4250,4,AMAN
82,4846,4,AMAN
82,4871,4,AMAN
75,4449,4,AMAN
77,4575,4,AMAN
73,4327,4,AMAN
81,4822,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
81,4821,4,AMAN
72,4252,4,AMAN
75,4424,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
75,4422,4,AMAN
76,4472,4,AMAN
81,4823,4,AMAN
76,4524,4,AMAN
71,4204,4,AMAN
73,4327,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
71,4204,4,AMAN
102,6002,6,AMAN
73,4325,4,AMAN
71,4204,4,AMAN
71,4204,4,AMAN
82,4842,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
76,4473,4,AMAN
71,4202,4,AMAN
73,4325,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
72,4251,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
71,4202,4,AMAN
72,4254,4,AMAN
71,4203,4,AMAN
72,4254,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
73,4324,4,AMAN
73,4326,4,AMAN
71,4203,4,AMAN
71,4201,4,AMAN
71,4203,4,AMAN
72,4276,4,AMAN
72,4276,4,AMAN
76,4475,4,AMAN
82,4843,4,AMAN
72,4273,4,AMAN
72,4273,4,AMAN
73,4325,4,AMAN
71,4225,4,AMAN
72,4276,4,AMAN
130,7702,7,AMAN
72,4276,4,AMAN
73,4325,4,AMAN
82,4842,4,AMAN
76,4521,4,AMAN
75,4422,4,AMAN
75,4425,4,AMAN
71,4202,4,AMAN
73,4325,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
81,4820,4,AMAN
82,4846,4,AMAN
81,4820,4,AMAN
76,4501,4,AMAN
85,5008,5,AMAN
71,4182,4,AMAN
81,4820,4,AMAN
81,4820,4,AMAN
82,4846,4,AMAN
81,4820,4,AMAN
81,4822,4,AMAN
81,4820,4,AMAN
81,4822,4,AMAN
81,4823,4,AMAN
81,4820,4,AMAN
76,4500,4,AMAN
76,4500,4,AMAN
75,4449,4,AMAN
71,4227,4,AMAN
75,4451,4,AMAN
122,7197,7,AMAN
71,4180,4,AMAN
74,4399,4,AMAN
75,4451,4,AMAN
73,4350,4,AMAN
81,4821,4,AMAN
76,4500,4,AMAN
81,4821,4,AMAN
81,4820,4,AMAN
77,4572,4,AMAN
81,4820,4,AMAN
71,4180,4,AMAN
82,4846,4,AMAN
72,4252,4,AMAN
71,4182,4,AMAN
71,4182,4,AMAN
71,4182,4,AMAN
81,4821,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
72,4250,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
71,4203,4,AMAN
73,4326,4,AMAN
75,4424,4,AMAN
72,4251,4,AMAN
82,4843,4,AMAN
71,4204,4,AMAN
75,4423,4,AMAN
76,4472,4,AMAN
71,4203,4,AMAN
71,4202,4,AMAN
71,4202,4,AMAN
76,4473,4,AMAN
76,4472,4,AMAN
76,4473,4,AMAN
75,4425,4,AMAN
71,4202,4,AMAN
72,4275,4,AMAN
71,4203,4,AMAN
71,4202,4,AMAN
82,4844,4,AMAN
72,4274,4,AMAN
72,4274,4,AMAN
72,4273,4,AMAN
73,4327,4,AMAN
72,4250,4,AMAN
73,4326,4,AMAN
75,4424,4,AMAN
71,4203,4,AMAN
72,4252,4,AMAN
73,4326,4,AMAN
72,4251,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
76,4499,4,AMAN
72,4252,4,AMAN
82,4846,4,AMAN
71,4180,4,AMAN
72,4251,4,AMAN
73,4327,4,AMAN
71,4204,4,AMAN
73,4327,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
75,4423,4,AMAN
74,4401,4,AMAN
72,4250,4,AMAN
71,4180,4,AMAN
81,4821,4,AMAN
122,7200,7,AMAN
107,6340,6,AMAN
72,4276,4,AMAN
74,4354,4,AMAN
76,4500,4,AMAN
82,4849,4,AMAN
72,4250,4,AMAN
81,4823,4,AMAN
71,4181,4,AMAN
81,4822,4,AMAN
71,4231,4,AMAN
76,4500,4,AMAN
74,4399,4,AMAN
76,4501,4,AMAN
82,4847,4,AMAN
76,4500,4,AMAN
